Activity Date,Activity Time,Activity Name,Activity Type,Distance,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Grade Adjusted Distance
23-Nov-22, 5:57:53 PM,Evening Run,Run,4.94,1638,1608,4947.390137,9.334009171,3.076735258,77.80808258,90.50807953,676.7000122,736.0999756,38.5437355,-0.256700993,5137.299805
24-Nov-22, 4:31:26 AM,Morning Run,Run,5.08,1797,1774,5086.009766,5.21599102,2.866972923,81.84590912,88.94591522,677.0999756,736.0999756,47.7665062,-0.139598638,5282.799805
25-Nov-22, 4:57:08 PM,Evening Run,Run,5.66,1978,1961,5665.180176,10.89599895,2.888924122,97.41230774,103.5123062,676.7000122,735.7000122,49.95347595,-0.107675306,5929.700195
27-Nov-22, 5:59:27 PM,Evening Run,Run,5.59,1876,1876,5591.899902,11.09800148,2.98075676,94.56040192,91.06040192,676.7000122,735.7999878,45.72420883,0.062590532,5856.200195
29-Nov-22, 5:13:05 PM,Evening Run,Run,5.89,1986,1974,5895.27002,7.380004883,2.986459017,104.0065994,114.3065948,676.7000122,736.0999756,29.77415657,-0.174716339,6113.700195
30-Nov-22, 2:13:15 PM,Afternoon Run,Run,6.02,2132,2122,6026.069824,5.400000095,2.839806795,107.1522522,115.6522522,677.0999756,736.0999756,30.46134186,-0.141053796,6360.200195
3-Dec-22, 1:37:09 PM,Afternoon Run,Run,11.31,4414,4382,11312.42969,5.382666588,2.581567764,180.4950409,173.9950409,619.9000244,743.7000122,32.33271027,0.057458922,11792.2998
5-Dec-22, 6:23:26 PM,Evening Run,Run,5.93,2014,2001,5937.629883,7.603750229,2.967331171,98.27105713,108.2710571,676.7000122,736.0999756,36.4480629,-0.168417364,6201.200195
6-Dec-22, 6:03:17 PM,Evening Run,Run,6.71,2197,2187,6716.220215,5.43398428,3.070974112,106.5198059,117.7198029,676.7000122,733.9000244,37.92137527,-0.16676046,6979.399902
7-Dec-22, 6:02:21 PM,Evening Run,Run,6.09,1969,1960,6089.259766,8.283999443,3.10676527,99.79428101,111.3942795,676.7000122,736.0999756,35.87718201,-0.19049935,6340.299805
